"","state","year","agri_gdp","total_gdp","perc_agri_gdp","region","avg_cy","med_cy","total_cy","max_cy","min_cy","pct_chg_cy","nat_avg_cy","pct_diff_cy","nat_pct_chg_cy","data_item","value","adj_prod_usd","rel_crop_output"
"1","ARKANSAS",1975,1165.7,11942,0.0976134650812259,"south",46.984,46.4,3523.8,75,26,NA,67.0715251797806,-29.9494086737068,NA,"CORN, GRAIN - PRODUCTION, MEASURED IN $",5035000,23918893.0241561,2.1278
"2","ARKANSAS",1976,1030.4,13704.4,0.0751875310119378,"south",52.7266666666667,50,3954.5,82.5,38,12.2226006016232,69.5544711781998,-24.19370635199,3.70193758344368,"CORN, GRAIN - PRODUCTION, MEASURED IN $",6300000,28302387.9045248,1.8182
"3","ARKANSAS",1977,1080.7,15182.3,0.0711815732794109,"south",49.5533333333333,47,3716.5,75.8,35,-6.01845998229864,76.8529904639312,-35.5219191417284,10.4932424358923,"CORN, GRAIN - PRODUCTION, MEASURED IN $",4900000,20669127.0452358,2.0537
"4","ARKANSAS",1978,1616.1,17477.1,0.0924695744717373,"south",56.4102564102564,55,2200,88,34,13.8374608036925,81.578653301079,-30.8516944965181,6.14896415691941,"CORN, GRAIN - PRODUCTION, MEASURED IN $",4320000,16930608.6867655,2.0673
"5","ARKANSAS",1979,1552.6,19099.1,0.0812917886183119,"south",54.8085106382979,55,2576,73,43,-2.83945841392649,92.5857580970491,-40.8024389875955,13.4926287093102,"CORN, GRAIN - PRODUCTION, MEASURED IN $",5481000,19307727.1891147,2.2922
"6","ARKANSAS",1980,987.2,20275.6,0.0486890646885912,"south",27.462962962963,27,1483,40,20,-49.8928858983207,68.9541087480167,-60.1721152494008,-25.5240652933484,"CORN, GRAIN - PRODUCTION, MEASURED IN $",3605000,11183880.9232481,1.6922
"7","ARKANSAS",1981,1568.9,22890.8,0.0685384521292397,"south",59.6981132075472,60,3164,81,43,117.376811409814,92.5709663787179,-35.5109754787309,34.2501093256179,"CORN, GRAIN - PRODUCTION, MEASURED IN $",8982000,25255044.4487215,2.4982
"8","ARKANSAS",1982,1342.8,23527,0.0570748501721426,"south",80.7291666666667,83,3875,114,55,35.2290086388538,93.4508298438912,-13.6132158467463,0.950474538176094,"CORN, GRAIN - PRODUCTION, MEASURED IN $",7047000,18669614.6658031,2.3448
"9","ARKANSAS",1983,952.1,25291.9,0.0376444632471266,"south",64.6216216216216,65,2391,100,30,-19.9525719267655,70.6838141522249,-8.57649322311291,-24.3625612845797,"CORN, GRAIN - PRODUCTION, MEASURED IN $",9108000,23378792.6807229,1.7339
"10","ARKANSAS",1984,1530.5,28464.7,0.053768351677692,"south",86.7142857142857,90,3642,115,50,34.1877277887315,90.2772278636025,-3.94666765211258,27.7198025409058,"CORN, GRAIN - PRODUCTION, MEASURED IN $",13406000,32992234.8259265,2.3056
